,precision,recall,f1-score,support
0,0.983333333333333,0.983333333333333,0.983333333333333,60
1,0.986072423398329,0.983333333333333,0.984700973574409,720
2,0.956410256410256,0.994666666666667,0.975163398692811,750
3,0.984409799554566,0.982222222222222,0.983314794215795,450
4,0.996918335901387,0.98030303030303,0.988540870893812,660
5,0.972712680577849,0.961904761904762,0.967278531524342,630
6,1,0.753333333333333,0.859315589353612,150
7,0.986486486486487,0.973333333333333,0.979865771812081,450
8,0.971111111111111,0.971111111111111,0.971111111111111,450
9,0.973630831643002,1,0.986639260020555,480
10,1,0.993939393939394,0.996960486322188,660
11,0.990361445783133,0.978571428571429,0.984431137724551,420
12,0.998355263157895,0.879710144927536,0.935285053929122,690
13,0.987603305785124,0.995833333333333,0.991701244813278,720
14,1,0.988888888888889,0.994413407821229,270
15,0.976635514018692,0.995238095238095,0.985849056603774,210
16,1,0.993333333333333,0.996655518394649,150
17,0.996978851963746,0.916666666666667,0.955137481910275,360
18,0.997402597402597,0.984615384615385,0.990967741935484,390
19,0.909090909090909,1,0.952380952380952,60
20,0.841121495327103,1,0.913705583756345,90
21,0.988095238095238,0.922222222222222,0.954022988505747,90
22,0.990825688073394,0.9,0.943231441048035,120
23,0.973856209150327,0.993333333333333,0.983498349834984,150
24,1,0.966666666666667,0.983050847457627,90
25,0.979381443298969,0.989583333333333,0.984455958549223,480
26,0.955414012738853,0.833333333333333,0.890207715133531,180
27,0.966666666666667,0.966666666666667,0.966666666666667,60
28,0.961290322580645,0.993333333333333,0.977049180327869,150
29,1,1,1,90
30,0.951388888888889,0.913333333333333,0.931972789115646,150
31,0.992537313432836,0.985185185185185,0.988847583643123,270
32,0.983606557377049,1,0.991735537190083,60
33,0.985849056603774,0.995238095238095,0.990521327014218,210
34,0.983471074380165,0.991666666666667,0.987551867219917,120
35,0.982051282051282,0.982051282051282,0.982051282051282,390
36,0.983050847457627,0.966666666666667,0.974789915966386,120
37,1,0.983333333333333,0.991596638655462,60
38,0.935528120713306,0.988405797101449,0.961240310077519,690
39,0.967391304347826,0.988888888888889,0.978021978021978,90
40,0.428571428571429,0.933333333333333,0.587412587412587,90
41,0.727272727272727,0.8,0.761904761904762,60
42,0.802197802197802,0.811111111111111,0.806629834254144,90
